Test_Time(s),Voltage(V),Current(A),remaining capacity,maximum capacity
0.0,4.0724,-1.3,1.6982458888888892,1.6982458888888892
1.0,4.0383,-1.2998,1.6978847777777781,1.6982458888888892
2.0,4.034,-1.2999,1.6975237222222226,1.6982458888888892
3.0,4.0312,-1.2999,1.6971626388888892,1.6982458888888892
4.0,4.029,-1.3,1.6968015555555558,1.6982458888888892
5.0,4.027,-1.3,1.6964404444444448,1.6982458888888892
6.0,4.0249,-1.2999,1.6960793333333337,1.6982458888888892
7.0,4.0234,-1.2999,1.6957182500000003,1.6982458888888892
8.0,4.0217,-1.2999,1.695357166666667,1.6982458888888892
9.0,4.0205,-1.3,1.6949960833333335,1.6982458888888892
10.0,4.0191,-1.2999,1.6946349722222225,1.6982458888888892
11.0,4.0179,-1.2999,1.694273888888889,1.6982458888888892
12.0,4.0165,-1.3,1.693912805555556,1.6982458888888892
13.0,4.0152,-1.2999,1.6935516944444446,1.6982458888888892
14.0,4.0141,-1.3,1.6931906111111115,1.6982458888888892
15.0,4.0131,-1.2998,1.6928295000000002,1.6982458888888892
16.0,4.0119,-1.3,1.6924684444444447,1.6982458888888892
17.0,4.0112,-1.2999,1.6921073333333336,1.6982458888888892
18.0,4.01,-1.3,1.6917462500000002,1.6982458888888892
19.0,4.0091,-1.2999,1.6913851388888892,1.6982458888888892
20.0,4.0082,-1.2999,1.6910240555555558,1.6982458888888892
21.0,4.0072,-1.3,1.6906629722222224,1.6982458888888892
22.0,4.0064,-1.2999,1.6903018611111114,1.6982458888888892
23.0,4.0056,-1.2999,1.689940777777778,1.6982458888888892
24.0,4.0045,-1.3,1.6895796944444448,1.6982458888888892
25.0,4.0037,-1.2999,1.6892185833333335,1.6982458888888892
26.0,4.003,-1.2999,1.6888575000000003,1.6982458888888892
27.0,4.002,-1.2999,1.688496416666667,1.6982458888888892
28.0,4.0014,-1.3,1.6881353333333335,1.6982458888888892
29.0,4.0007,-1.2999,1.6877742222222225,1.6982458888888892
30.0,3.9997,-1.3,1.687413138888889,1.6982458888888892
31.0,3.999,-1.3,1.687052027777778,1.6982458888888892
32.0,3.9983,-1.2999,1.686690916666667,1.6982458888888892
33.0,3.9973,-1.3,1.6863298333333336,1.6982458888888892
34.0,3.9969,-1.2999,1.6859687222222226,1.6982458888888892
35.0,3.9962,-1.2999,1.6856076388888892,1.6982458888888892
36.0,3.9952,-1.3,1.6852465555555558,1.6982458888888892
37.0,3.9945,-1.2998,1.6848854444444448,1.6982458888888892
38.0,3.9937,-1.3,1.6845243888888892,1.6982458888888892
39.0,3.9931,-1.3,1.684163277777778,1.6982458888888892
40.0,3.9924,-1.2999,1.683802166666667,1.6982458888888892
41.0,3.9917,-1.2999,1.6834410833333335,1.6982458888888892
42.0,3.9912,-1.2999,1.6830800000000004,1.6982458888888892
43.0,3.9904,-1.2998,1.682718916666667,1.6982458888888892
44.0,3.9898,-1.3,1.6823578611111114,1.6982458888888892
45.0,3.9893,-1.2999,1.6819967500000004,1.6982458888888892
46.0,3.9884,-1.2999,1.681635666666667,1.6982458888888892
47.0,3.9879,-1.3,1.6812745833333336,1.6982458888888892
48.0,3.9874,-1.2999,1.6809134722222225,1.6982458888888892
49.0,3.9866,-1.3,1.6805523888888891,1.6982458888888892
50.0,3.9861,-1.2999,1.680191277777778,1.6982458888888892
51.0,3.9854,-1.3001,1.6798301944444447,1.6982458888888892
52.0,3.9849,-1.3,1.6794690555555558,1.6982458888888892
53.0,3.9842,-1.3,1.6791079444444448,1.6982458888888892
54.0,3.9834,-1.3001,1.6787468333333335,1.6982458888888892
55.0,3.9828,-1.3,1.6783856944444446,1.6982458888888892
56.0,3.9824,-1.3,1.6780245833333336,1.6982458888888892
57.0,3.9818,-1.3,1.6776634722222226,1.6982458888888892
58.0,3.981,-1.3,1.6773023611111113,1.6982458888888892
59.0,3.9804,-1.3,1.6769412500000003,1.6982458888888892
60.0,3.9799,-1.2998,1.6765801388888892,1.6982458888888892
61.0,3.9795,-1.3,1.6762190833333337,1.6982458888888892
62.0,3.979,-1.2999,1.6758579722222224,1.6982458888888892
63.0,3.9783,-1.2998,1.6754968888888893,1.6982458888888892
64.0,3.9777,-1.3,1.6751358333333337,1.6982458888888892
65.0,3.9771,-1.2998,1.6747747222222225,1.6982458888888892
66.0,3.9766,-1.2999,1.674413666666667,1.6982458888888892
